região,população,casosPeríodo,óbitosPeríodo,óbitosPorCasos,casosPorCemMilHab,óbitosPorCemMilHab
Brasil,210147125.0,2868853,51384,1.7910990908213142,1365.164048758697,24.45144086553647
Norte,18430980.0,253573,5370,2.117733354891885,1375.797705819224,29.13572691197104
Nordeste,57071654.0,544890,7074,1.2982436822110885,954.7471674817764,12.394944782921483
Centro-Oeste,16297074.0,238752,3866,1.6192534512799894,1464.9991771529048,23.722049737271856
Sul,29975984.0,706944,10310,1.4583899149013217,2358.3679521579675,34.39420037053663
Sudeste,88371433.0,1124694,24764,2.2018433458345115,1272.6895579479853,28.022630344808373
